Customer_ID,First_Order_Creation_Date,First_Order_ID,First_Visit_Date,Days_To_First_Conversion,Sessions_To_First_Conversion,Is_Shipping_Discount_Used,Shipping_Discount_Amount,Is_Order_Product_Discount_Used,Order_Product_Discount_Amount
CUSTAAA,9/11/2024,lWlXKcg8o1,7/23/2024,13,14,,,,
CUSTAAB,10/31/2024,]KHT?Dy5nR,8/31/2024,6,8,,,,
CUSTAAC,12/31/2024,?hc;GS^AR6,3/20/2024,15,16,,,,
CUSTAAD,1/5/2025,ORD_0105_1,7/28/2024,3,3,Y,$2.00,Y,$3.00
CUSTAAE,1/5/2025,ORD_0105_2,8/18/2024,2,2,Y,$1.00,Y,$3.00
CUSTAAF,1/5/2025,ORD_0105_3,7/4/2024,27,28,N,,N,
CUSTAAG,1/7/2025,ORD_0107_1,12/27/2024,11,11,Y,$2.00,N,
CUSTAAH,12/11/2024,cy93dklLx[,6/29/2024,17,21,,,,
CUSTAAI,1/9/2025,ORD_0109_1,2/25/2024,15,15,Y,$1.00,N,
CUSTAAJ,1/9/2025,ORD_0109_2,1/4/2025,2,3,Y,$1.00,Y,$3.00
CUSTAAK,11/17/2024,E;LlF^LJDW,11/3/2024,8,10,,,,
CUSTAAL,1/10/2025,ORD_0110_1,7/10/2024,2,3,N,,Y,$3.00
CUSTAAM,1/10/2025,ORD_0110_2,1/16/2024,3,3,N,,Y,$3.00
CUSTAAN,1/11/2025,ORD_0111_1,8/27/2024,1,1,Y,$2.00,Y,$3.00
CUSTAAO,1/11/2025,ORD_0111_2,6/21/2024,9,10,N,,Y,$3.00
CUSTAAP,1/11/2025,ORD_0111_3,10/4/2024,28,30,N,,N,
CUSTAAQ,1/14/2025,ORD_0114_1,7/26/2024,11,15,N,,Y,$3.00
CUSTAAR,1/14/2025,ORD_0114_2,8/7/2024,1,1,N,,Y,$3.00
CUSTAAS,12/1/2024,UcHrJU2S9R,7/23/2024,8,9,,,,
CUSTAAT,1/16/2025,ORD_0116_1,4/14/2024,12,14,N,,Y,$3.00
CUSTAAU,1/17/2025,ORD_0117_1,11/29/2024,9,11,N,,Y,$3.00
CUSTAAV,1/17/2025,ORD_0117_2,11/6/2024,1,1,Y,$2.00,Y,$3.00
CUSTAAW,1/18/2025,ORD_0118_1,5/4/2024,4,5,Y,$3.00,Y,$3.00
CUSTAAX,11/11/2024,hRCuQ1lRWf,5/12/2024,24,28,,,,
CUSTAAY,1/18/2025,ORD_0118_3,2/8/2024,14,15,N,,Y,$3.00
CUSTAAZ,1/19/2025,ORD_0119_1,8/11/2024,3,4,N,,Y,$3.00
CUSTABA,1/20/2025,ORD_0120_2,9/25/2024,9,12,N,,Y,$3.00
CUSTABB,12/26/2024,5kNHJ=:dmV,10/26/2024,9,12,,,,
CUSTABC,1/21/2025,ORD_0121_1,5/21/2024,10,14,N,,Y,$3.00
CUSTABD,10/16/2024,RqJVrwXotu,5/9/2024,20,21,,,,
CUSTABE,1/22/2025,ORD_0122_2,12/5/2024,8,8,N,,N,
CUSTABF,9/10/2024,UBRR78jSq7,5/13/2024,26,30,,,,
CUSTABG,11/29/2024,O]OcBwubwM,8/2/2024,25,29,,,,
CUSTABH,9/13/2024,n;bZT7LLcM,2/22/2024,6,6,,,,
CUSTABI,1/24/2025,ORD_0124_1,5/28/2024,7,9,N,,Y,$3.00
CUSTABJ,1/24/2025,ORD_0124_2,2/17/2024,11,11,N,,Y,$3.00
CUSTABK,1/25/2025,ORD_0125_1,11/5/2024,5,5,Y,$2.00,Y,$3.00
CUSTABL,1/25/2025,ORD_0125_2,7/29/2024,1,1,N,,Y,$3.00
CUSTABM,12/18/2024,cX^PAx^:_v,10/8/2024,7,8,,,,
CUSTABN,1/26/2025,ORD_0126_2,9/7/2024,7,9,N,,Y,$3.00
CUSTABO,9/10/2024,ORD_0126_3,1/10/2024,11,12,N,,Y,$3.40
CUSTABP,1/28/2025,ORD_0128_1,6/16/2024,5,5,Y,$2.00,Y,$3.00
CUSTABQ,1/28/2025,ORD_0128_2,6/10/2024,6,6,N,,N,
CUSTABR,1/28/2025,ORD_0128_3,9/18/2024,13,15,N,,Y,$3.00
CUSTABS,11/25/2024,a0XqzRT__1,3/26/2024,4,4,,,,
CUSTABT,1/29/2025,ORD_0129_2,3/7/2024,11,12,N,,Y,$3.00
CUSTABU,1/29/2025,ORD_0129_3,2/7/2024,14,17,N,,N,
CUSTABV,1/30/2025,ORD_0130_1,10/20/2024,4,5,Y,$2.00,Y,$3.00
CUSTABW,1/30/2025,ORD_0130_3,2/12/2024,26,29,N,,N,
CUSTABX,1/30/2025,ORD_0130_4,7/4/2024,9,13,N,,Y,$3.00
CUSTABY,1/31/2025,ORD_0131_2,6/14/2024,18,21,N,,N,
CUSTABZ,1/31/2025,ORD_0131_3,8/14/2024,12,14,N,,Y,$3.00
CUSTACA,1/31/2025,ORD_0131_4,5/3/2024,7,9,N,,Y,$3.00
