Date,Sessions,Unique_Visitors,Orders,Customers,New_Customers,Gross_Sales ($),Shipping_Fees,Shipping_Cost,Shipping_Discount_Spent ($),Product_Order_Discount_Amount_Spent ($),COGS,Net_Profit,Net_Profit_Including_Shipping
01/01/2025,100,93,1,1,0,$16.00,$2.00,$2.00,$0.00,$0.00,$3.50,$12.50,$12.50
01/02/2025,100,95,1,1,0,$12.00,$1.00,$1.00,$0.00,$0.00,$4.00,$8.00,$8.00
01/03/2025,103,82,1,1,0,$19.00,$1.00,$1.00,$0.00,$0.00,$4.00,$15.00,$15.00
01/04/2025,103,94,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
01/05/2025,109,92,3,3,3,$33.00,$4.00,$4.00,$3.00,$6.00,$8.00,$19.00,$16.00
01/06/2025,109,99,1,1,0,$11.00,$1.00,$1.00,$0.00,$0.00,$2.50,$8.50,$8.50
01/07/2025,112,98,2,2,1,$45.00,$5.00,$5.00,$2.00,$0.00,$9.80,$35.20,$33.20
01/08/2025,112,90,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
01/09/2025,112,93,3,3,2,$26.50,$3.00,$3.00,$2.00,$3.00,$6.50,$17.00,$15.00
01/10/2025,112,97,2,2,2,$9.00,$2.00,$2.00,$0.00,$6.00,$2.00,$1.00,$1.00
01/11/2025,113,87,3,3,3,$26.00,$4.00,$4.00,$2.00,$6.00,$6.50,$13.50,$11.50
01/12/2025,113,93,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
01/13/2025,112,106,1,1,0,$11.00,$1.00,$1.00,$0.00,$0.00,$3.00,$8.00,$8.00
01/14/2025,112,95,3,3,2,$51.50,$6.00,$6.00,$0.00,$6.00,$12.00,$33.50,$33.50
01/15/2025,110,87,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
01/16/2025,109,87,1,1,1,$4.50,$1.00,$1.00,$0.00,$3.00,$1.00,$0.50,$0.50
01/17/2025,113,106,2,2,2,$15.50,$3.00,$3.00,$2.00,$6.00,$3.80,$5.70,$3.70
01/18/2025,113,96,3,3,2,$38.00,$5.00,$5.00,$3.00,$6.00,$8.80,$23.20,$20.20
01/19/2025,119,104,1,1,1,$4.50,$1.00,$1.00,$0.00,$3.00,$1.00,$0.50,$0.50
01/20/2025,109,104,3,3,1,$35.00,$6.00,$6.00,$0.00,$9.20,$10.20,$15.60,$15.60
01/21/2025,109,84,1,1,1,$4.00,$1.00,$1.00,$0.00,$3.00,$0.80,$0.20,$0.20
01/22/2025,106,99,2,2,1,$19.00,$2.00,$2.00,$0.00,$0.00,$5.80,$13.20,$13.20
01/23/2025,106,104,3,3,0,$79.00,$5.00,$5.00,$0.00,$8.80,$28.00,$42.20,$42.20
01/24/2025,118,108,2,2,2,$8.50,$2.00,$2.00,$0.00,$6.00,$1.80,$0.70,$0.70
01/25/2025,112,104,2,2,2,$15.00,$3.00,$3.00,$2.00,$6.00,$3.60,$5.40,$3.40
01/26/2025,112,98,3,3,1,$36.50,$5.00,$5.00,$0.00,$6.40,$11.80,$18.30,$18.30
01/27/2025,100,80,0,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
01/28/2025,112,109,3,3,3,$19.50,$4.00,$4.00,$2.00,$6.00,$4.60,$8.90,$6.90
01/29/2025,112,97,3,3,2,$40.00,$4.00,$4.00,$0.00,$8.00,$13.60,$18.40,$18.40
01/30/2025,112,92,4,4,3,$32.50,$5.00,$5.00,$2.00,$6.00,$7.60,$18.90,$16.90
01/31/2025,112,109,4,4,3,$30.00,$4.00,$4.00,$0.00,$6.00,$6.80,$17.20,$17.20
